番号,日付,時間,ms,CHU1-1,CHU1-2,CHU1-3,CHU1-4,CHU2-1,CHU2-2,CHU2-3,CHU2-4,CHU2-5,CHU2-6,CHU2-7,CHU2-8,CHU2-9,CHU2-10,AlarmU1,AlarmU2,AlarmOut,MarkEvent
NO.,Date,Time,ms," V"," V"," V"," V"," V"," V"," V"," V"," V"," V"," V"," V"," V"," V","A1234567890","A1234567890","AO1234567890","Alarm/Info/x/User12345678"
54,2024-12-18,16:49:17,530,-0.008,-0.003,-0.001,-0.005,+0.03,+0.01,+0.01,+0.04,+0.04,+3.376,+0.011,+0.02,-0.01,+0.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
55,2024-12-18,16:49:17,540,-0.007,-0.003,-0.003,-0.004,+0.04,+0.03,+0.03,+0.06,+0.06,+3.376,+0.011,+0.01,+0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
56,2024-12-18,16:49:17,550,-0.007,-0.001,-0.003,-0.005,+0.04,+0.02,+0.04,+0.04,+0.03,+3.374,+0.011,+0.02,-0.01,+0.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
57,2024-12-18,16:49:17,560,-0.008,+0.000,-0.002,-0.006,+0.03,+0.04,+0.01,+0.07,+0.03,+3.376,+0.010,+0.01,+0.02,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
58,2024-12-18,16:49:17,570,-0.006,-0.003,-0.002,-0.005,+0.03,+0.03,+0.03,+0.04,+0.04,+3.374,+0.011,+0.03,-0.01,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
59,2024-12-18,16:49:17,580,-0.006,-0.002,-0.002,-0.003,+0.04,+0.00,+0.04,+0.04,+0.06,+3.376,+0.011,-0.01,-0.01,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
60,2024-12-18,16:49:17,590,-0.005,+0.001,-0.002,-0.005,+0.01,+0.04,+0.00,+0.07,+0.03,+3.378,+0.011,+0.01,+0.00,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
61,2024-12-18,16:49:17,600,-0.006,-0.001,-0.004,-0.006,+0.01,+0.04,+0.03,+0.04,+0.03,+3.376,+0.009,+0.04,-0.02,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
62,2024-12-18,16:49:17,610,-0.007,-0.003,-0.001,-0.004,+0.03,+0.01,+0.03,+0.04,+0.02,+3.374,+0.011,+0.04,-0.01,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
63,2024-12-18,16:49:17,620,-0.008,-0.002,-0.002,-0.003,+0.01,+0.02,+0.01,+0.02,+0.03,+3.374,+0.011,+0.03,-0.02,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
64,2024-12-18,16:49:17,630,-0.008,+0.000,-0.004,-0.005,+0.04,+0.02,+0.01,+0.06,+0.01,+3.376,+0.011,+0.03,+0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
65,2024-12-18,16:49:17,640,-0.006,-0.002,-0.000,-0.006,+0.04,+0.04,+0.01,+0.06,+0.04,+3.376,+0.011,+0.03,-0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
66,2024-12-18,16:49:17,650,-0.007,-0.003,-0.003,-0.004,+0.02,+0.03,+0.01,+0.04,+0.03,+3.375,+0.011,+0.01,-0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
67,2024-12-18,16:49:17,660,-0.006,-0.002,-0.003,-0.004,+0.04,+0.01,+0.02,+0.04,+0.03,+3.376,+0.011,+0.02,+0.01,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
